4.179592	4.179592	1
6.968889	6.968889	-1
12.649070	12.649070	1
18.361179	18.361179	-1
24.026848	24.026848	1
26.134059	26.134059	-1
29.675102	29.675102	1
35.201451	35.201451	-1
36.617868	36.617868	1
38.045896	38.045896	-1
40.901950	40.901950	1
43.084626	43.084626	-1
46.590839	46.590839	1
48.645805	48.645805	1
49.342404	49.342404	1
52.152018	52.152018	-1
53.614875	53.614875	-1
57.852517	57.852517	-1
60.650522	60.650522	1
63.483356	63.483356	-1
69.125805	69.125805	1
71.970249	71.970249	-1
74.733424	74.733424	1
76.103401	76.103401	1
80.410703	80.410703	-1
81.165351	81.165351	-1
81.861950	81.861950	-1
83.278367	83.278367	1
84.729615	84.729615	1
86.111202	86.111202	1
87.457959	87.457959	-1
88.862766	88.862766	-1
91.718821	91.718821	-1
97.523810	97.523810	1
103.050159	103.050159	-1
108.657778	108.657778	1
109.400816	109.400816	1
110.120635	110.120635	1
114.381497	114.381497	-1
115.101315	115.101315	-1
115.786304	115.786304	-1
117.179501	117.179501	1
118.561088	118.561088	-1
119.954286	119.954286	1
120.616054	120.616054	-1
121.324263	121.324263	1
125.689615	125.689615	1
126.362993	126.362993	1
127.024762	127.024762	1
128.464399	128.464399	1
129.962086	129.962086	-1
132.632381	132.632381	1
134.095238	134.095238	-1
134.466757	134.466757	1
134.861497	134.861497	-1
138.112290	138.112290	1
